Irelia,Sejuani,Vladimir,Kai'Sa,Gragas
Sylas,Lee Sin,Lissandra,Kalista,Braum
Yorick,Zac,Sylas,Kai'Sa,Braum
Fiora,Lee Sin,Karma,Ezreal,Tahm Kench
Jayce,Sejuani,Lissandra,Ezreal,Tahm Kench
Jarvan IV,Rek'Sai,Syndra,Kalista,Thresh
Aatrox,Olaf,Ryze,Lucian,Morgana
Irelia,Lee Sin,Lissandra,Ashe,Braum
Yorick,Xin Zhao,Zoe,Ezreal,Braum
Sylas,Lee Sin,LeBlanc,Draven,Thresh
Sylas,Rek'Sai,Renekton,Kalista,Galio
Kennen,Aatrox,Yasuo,Lucian,Braum
Vladimir,Sejuani,Irelia,Ashe,Tahm Kench
Jax,Zac,Sion,Lucian,Galio
Ryze,Kha'Zix,Lissandra,Sivir,Alistar
Aatrox,Olaf,Syndra,Ezreal,Galio
Sylas,Olaf,Karthus,Varus,Galio
Riven,Jarvan IV,Lissandra,Kai'Sa,Alistar
Fiora,Rek'Sai,Lissandra,Lucian,Braum
Aatrox,Olaf,Galio,Ezreal,Alistar
Sion,Olaf,LeBlanc,Ashe,Bard
Camille,Jarvan IV,Lissandra,Ezreal,Tahm Kench
Vladimir,Aatrox,Sylas,Jinx,Braum
Jayce,Rek'Sai,Azir,Xayah,Thresh
Jarvan IV,Nocturne,Sylas,Kai'Sa,Gragas
Jayce,Lee Sin,Ryze,Ezreal,Tahm Kench
Ryze,Lee Sin,Yasuo,Kai'Sa,Alistar
Camille,Sejuani,Sylas,Xayah,Galio
Ryze,Lee Sin,Sylas,Kai'Sa,Galio
Aatrox,Olaf,Lissandra,Kalista,Shen
Jayce,Lee Sin,Syndra,Lucian,Braum
Malphite,Jarvan IV,Taliyah,Kalista,Galio
Vladimir,Lee Sin,Zoe,Xayah,Blitzcrank
Sylas,Kha'Zix,Lissandra,Kalista,Thresh
Aatrox,Lee Sin,LeBlanc,Sivir,Braum
Urgot,Olaf,Syndra,Ezreal,Tahm Kench
Sion,Xin Zhao,Zoe,Ezreal,Tahm Kench
Vladimir,Lee Sin,Lissandra,Kalista,Galio
Urgot,Kayn,Lissandra,Kai'Sa,Tahm Kench
Sion,Sejuani,Galio,Sivir,Alistar
Jayce,Lee Sin,Sylas,Ezreal,Tahm Kench
Urgot,Riven,Vladimir,Sivir,Galio
Jayce,Skarner,Syndra,Kai'Sa,Galio
Urgot,Lee Sin,Zoe,Xayah,Alistar
Yorick,Aatrox,Ahri,Lucian,Thresh
Kennen,Olaf,Urgot,Ezreal,Tahm Kench
Urgot,Olaf,Sylas,Kalista,Galio
Aatrox,Xin Zhao,Lulu,Kai'Sa,Alistar
Urgot,Jarvan IV,LeBlanc,Ezreal,Tahm Kench
Aatrox,Lee Sin,Ryze,Sivir,Shen
Jayce,Camille,Lissandra,Ezreal,Galio
Urgot,Aatrox,Ryze,Xayah,Tahm Kench
Sion,Aatrox,Zoe,Vladimir,Shen
Urgot,Lee Sin,Lissandra,Kai'Sa,Alistar
Urgot,Aatrox,LeBlanc,Kai'Sa,Alistar
Yorick,Nocturne,Zoe,Vladimir,Shen
Aatrox,Lee Sin,Zoe,Yasuo,Alistar
